month,scheduled_flights,cancellation_rate,delay_rate,mean_delay_minutes
2022-01-01,537902,0.06182538826775137,0.19274361556136788,3.9810854985512254
2022-02-01,495713,0.04384795234339225,0.19574084954749696,4.674905843016743
2022-03-01,564853,0.015476593025087942,0.2159975482684646,7.08706351066323
2022-04-01,556502,0.023435674984097092,0.22312895555756415,8.579072414257439
2022-05-01,578819,0.019669361233822662,0.21114399554734917,7.411092754724316
2022-06-01,577283,0.030965748168575898,0.2413218754538299,10.677201198379928
2022-07-01,594957,0.017725650761315524,0.23709765187134474,9.856324532356934
2022-08-01,589810,0.024416337464607245,0.22405115590662095,8.714221460586208
2022-09-01,557494,0.01560375537673948,0.16591264277159465,2.4047885081646365
2022-10-01,572287,0.00844331602849619,0.15897311877308065,2.0858864732423408
2022-11-01,546410,0.011326659468164932,0.18968506989070824,4.708015037119876
2022-12-01,557095,0.054895484612139764,0.2711403901259484,13.76753519987053
2023-01-01,538837,0.01910596339894996,0.2213840367073409,7.776392885391989
2023-02-01,502749,0.01793936934732839,0.18867491836581451,4.141987673187255
2023-03-01,580322,0.012761880473254503,0.23803349937798868,9.069906724546088
2023-04-01,561441,0.017079265675289123,0.228772791954188,9.112959769122707
2023-05-01,579958,0.005707309839678046,0.18094152362845808,3.8132541112804534
2023-06-01,577262,0.021167164996136936,0.2705524480991606,14.40579846625113
2023-07-01,601866,0.02426786028783816,0.28557852383866217,16.64182525493199
2023-08-01,602987,0.015210941529419373,0.21690574220372816,8.440266017272885
2023-09-01,569338,0.012396853889956405,0.18666683306976273,5.393974187314022
2023-10-01,598968,0.0035728119031400675,0.15601431536418442,1.1862557738803328
2023-11-01,563777,0.0014527020435384913,0.13575077389747392,-1.2563383136591793
2023-12-01,570394,0.004049832221236549,0.1572526947248479,0.5093316588498626
2024-01-01,547271,0.03725576542517327,0.24061137864742943,10.3522983801892
2024-02-01,519221,0.005781738411967158,0.1592100436859194,0.5934550690998294
2024-03-01,591767,0.008652053933389324,0.20845454405693076,6.504476326969165
2024-04-01,582185,0.0069307866056322305,0.1905792014421535,5.3605435809434665
2024-05-01,609743,0.013520450419275005,0.264134066278833,14.049410406090523
2024-06-01,611132,0.012887559479785055,0.24937964847855879,11.807215370082092
2024-07-01,634613,0.028949926963361922,0.2962269805745857,18.092325283660564
2024-08-01,619025,0.020538750454343523,0.23467035576523698,10.587576100069006
2024-09-01,582622,0.0060056091256423545,0.1550819524713711,0.9967748183349416
2024-10-01,615497,0.010209635465323146,0.13203147339255958,-1.2827363051630694
2024-11-01,575404,0.004568963719404105,0.14669550454336436,-0.3246114492431806
2024-12-01,590581,0.007028671765600316,0.21154964160647843,7.116440276865835
2025-01-01,539747,0.030221566771098312,0.1878916803409737,3.7566139288374383
2025-02-01,504884,0.014666735329303364,0.2076676415375567,5.71892901167428
2025-03-01,600872,0.011521588624532347,0.19590377189976044,5.451542374569686
2025-04-01,583950,0.008415104032879527,0.19663856818929257,5.664272237896595
2025-05-01,605648,0.010474731196998916,0.23601763128917924,10.188485442807083
2025-06-01,611575,0.015919551976454237,0.2825903461712974,15.59239297248245
2025-07-01,631428,0.024504773307487158,0.2888525173340557,17.3460691795676
2025-08-01,602378,0.010762345238371919,0.22555593170667623,9.242209882219786
2025-09-01,562439,0.00513122311930716,0.16631621555787995,2.3162477969938817
2025-10-01,605844,0.005288490106364015,0.20321990790764166,5.585546154229766
2025-11-01,570550,0.02487950223468583,0.20560205728116177,6.372840791217657
2025-12-01,582304,0.015457561685992197,0.26771564053965213,13.041888432728824
