delay_threshold_minutes,raw_probability,coherent_probability,origin_airport,destination_airport,scheduled_departure_hour
15,0.7200952626269604,0.7200952626269604,FSD,SFB,18
30,0.5844266435419484,0.5844266435419484,FSD,SFB,18
60,0.37327719706053364,0.37327719706053364,FSD,SFB,18
120,0.155817339580403,0.155817339580403,FSD,SFB,18
