duration_band_minutes,sample_flights,mean_risk_change_percentage_points
180–239,54240,0.3272559548532675
240–299,24316,0.203522890152175
150–179,62054,0.14531934334593596
120–149,69406,0.0864027239878589
90–119,88052,-0.029924605210690625
60–89,69937,-0.08568557818187261
300–419,21536,-0.6603029794101696
<60,9710,-0.9206158613166296
420+,749,-1.0190757351988753
