model,params,roc_auc,average_precision,log_loss,brier_score,base_rate,top_decile_delay_rate,top_decile_lift,share_delays_captured_top_decile
logistic_regression,"{""alpha"": 3e-06, ""penalty"": ""l2""}",0.6403200150824441,0.32693429385604045,1.4165435167416889,0.20075912889541736,0.20920666666666668,0.40773333333333334,1.9489500015933208,0.1948950001593321
logistic_regression,"{""alpha"": 1e-05, ""penalty"": ""l2""}",0.6451288032809938,0.3303189572650704,0.733585776884502,0.1832525121615981,0.20920666666666668,0.4103777777777778,1.9615903466003843,0.19615903466003845
logistic_regression,"{""alpha"": 3e-05, ""penalty"": ""l2""}",0.6581832455836168,0.3393154992854728,0.5187856660302531,0.1616571038471796,0.20920666666666668,0.4187777777777778,2.0017420307404694,0.20017420307404693
logistic_regression,"{""alpha"": 1e-05, ""l1_ratio"": 0.05, ""penalty"": ""elasticnet""}",0.46670497619865525,0.1996408918388102,2.7015308109279608,0.2091989948366351,0.20920666666666668,0.20297777777777778,0.9702261453321012,0.09702261453321012
xgboost,"{""learning_rate"": 0.05, ""max_depth"": 4, ""min_child_weight"": 10, ""reg_lambda"": 2.0}",0.6807399815563857,0.3598585547694503,0.47809937596321106,0.15355195105075836,0.20920666666666668,0.4404,2.1050954399158726,0.21050954399158728
xgboost,"{""learning_rate"": 0.05, ""max_depth"": 6, ""min_child_weight"": 10, ""reg_lambda"": 2.0}",0.6811698140386312,0.3593406491385468,0.4780556261539459,0.15357618033885956,0.20920666666666668,0.4386,2.09649150760014,0.20964915076001403
xgboost,"{""learning_rate"": 0.04, ""max_depth"": 8, ""min_child_weight"": 20, ""reg_lambda"": 3.0}",0.6807017011485135,0.3588560552145307,0.47827160358428955,0.15366412699222565,0.20920666666666668,0.4412,2.108919409833976,0.21089194098339759
xgboost,"{""colsample_bytree"": 0.9, ""learning_rate"": 0.04, ""max_depth"": 6, ""min_child_weight"": 25, ""reg_lambda"": 5.0, ""subsample"": 0.9}",0.681056753484446,0.35946140028203166,0.47806090116500854,0.15356913208961487,0.20920666666666668,0.43977777777777777,2.102121241090681,0.21021212410906812
ebm,"{""interactions"": 0, ""learning_rate"": 0.05, ""max_rounds"": 900, ""min_samples_leaf"": 30}",0.6733449300451094,0.351571789057672,0.4819003038257954,0.15461363683409513,0.209288,0.431,2.059363174190589,0.2059363174190589
ebm,"{""interactions"": 5, ""learning_rate"": 0.04, ""max_rounds"": 1100, ""min_samples_leaf"": 30}",0.6764422369167601,0.3552332929685159,0.48029212904748325,0.1542098223034146,0.209288,0.4352,2.079431214403119,0.2079431214403119
ebm,"{""interactions"": 8, ""learning_rate"": 0.03, ""max_rounds"": 1300, ""min_samples_leaf"": 50}",0.6769499232308578,0.35714867574938386,0.4800168812005563,0.15407834195672,0.209288,0.44096,2.1069530981231606,0.21069530981231605
