year,flights,eligible_rate,cancellation_rate,diversion_rate,delay_rate
2022,6729125,0.9707074842568685,0.02694050117957387,0.002351865955826352,0.21077701633126208
2023,6847899,0.984740429144764,0.012842333100999298,0.0024170917240455797,0.20563786562956418
2024,7079061,0.9839224439512528,0.013605618033239154,0.002471938015507989,0.20817151207990184
2025,7001619,0.982556177364121,0.01469317310753413,0.0027505067042351205,0.2230745794306666
