flight_date,scheduled_flights,delay_rate,cancellation_rate,forecast_hazard_share,seasonally_standardized_anomaly,observed_context_not_causal
2024-07-19,21468,0.5827462820082746,0.16526923793553194,0.022307950352230797,4.455056182274749,elevated cancellations
2025-11-30,21576,0.4688888888888889,0.03851501668520579,0.0010628019323671498,4.197575697651152,federal-holiday window
2025-11-09,20442,0.451418023158248,0.12131885334116035,0.0006712535660345696,3.954276294718993,elevated cancellations; federal-holiday window
2022-12-23,19145,0.6214114397848681,0.27584225646382865,0.10647576131986336,3.891215533430266,elevated forecast-hazard exposure; elevated cancellations; federal-holiday window
2023-01-11,17267,0.6173510844427776,0.06961255574216714,0.001687605475342209,3.8471180027699927,elevated cancellations
2025-10-26,20832,0.3272885536051066,0.003984254992319508,0.0007737318052130181,3.319089185586348,no captured external indicator
2022-12-24,14772,0.5552853296273778,0.21879230977525047,0.020411708503430905,3.2376484486171435,elevated cancellations; federal-holiday window
2025-11-10,20224,0.39915435725660314,0.09780458860759493,0.008730986766240184,3.2264521041515577,elevated cancellations; federal-holiday window
2025-03-16,20206,0.4413094310210444,0.04310600811640107,0.00846973239802546,3.0353304325947956,elevated cancellations
2025-02-16,18978,0.4250837449611083,0.06523342817999789,0.07698858797479134,2.9633697648771467,elevated forecast-hazard exposure; elevated cancellations; federal-holiday window
2025-02-13,19715,0.4239624119028974,0.024702003550595993,0.030435917515009136,2.9494052227693808,no captured external indicator
2022-03-12,16928,0.4318472969510633,0.07396030245746692,0.015372790161414296,2.9086565852336803,elevated cancellations
