reference,alternative,graphsage_log_loss_gain,ci_low,ci_high
graphsage,embedding_mlp,-0.00025274683139286935,-0.00037989924865541977,-0.0001255944141303189
graphsage,xgboost,0.0008842500974424183,0.0006844389828620478,0.0010840612120227887
graphsage,ebm,0.0013101827115596088,0.001106551164920052,0.0015138142581991657
