rank,airport,sample_flights,risk_change_at_22pct_baseline_pp
1,MEM,5154.0,5.678554204686415
2,BOI,5268.0,3.1718908500454224
3,MKE,5963.0,2.708625643914914
4,OMA,5291.0,2.5550185354391965
5,OKC,5266.0,2.511895019209154
6,CVG,7231.0,2.464660843011907
7,ABQ,5420.0,2.3643715211897174
8,PBI,6582.0,2.3309613032962333
9,EWR,25512.0,1.923035130785472
10,JAX,6038.0,1.8974127220752064
