delay_threshold_minutes,base_rate,roc_auc,average_precision,log_loss,brier_score,fit_minutes
30,0.14866166666666666,0.6844959025756231,0.27326964703952394,0.39296833606372017,0.1192619644453445,4.893215155601501
60,0.08211,0.6877893092587293,0.1671015821964492,0.26706599221596816,0.07253995270533048,4.321320458253225
120,0.033846666666666664,0.6825345925379858,0.07312454898732682,0.14122946856559687,0.03217639396294141,2.763473411401113
