departure_hour,eligible_flights,delay_rate,mean_delay_minutes
0,45499,0.1993010835402976,4.920459790325062
1,14552,0.21728971962616822,8.275563496426608
2,5847,0.23020352317427742,7.337266974516846
3,3700,0.2235135135135135,6.762702702702703
4,1800,0.20055555555555554,6.591111111111111
5,753246,0.08885012333288195,-2.3027988200401994
6,1909269,0.1003803026184367,-1.697494695613871
7,1883538,0.12556582346626402,-0.22704293728079816
8,1858389,0.14128850310672308,0.3896428573350359
9,1535355,0.15510354282885716,1.5172647368198233
10,1704852,0.1660613355294184,2.555549103382581
11,1690663,0.18200138052349876,4.008505538951288
12,1621262,0.19703107825878852,5.730276167578096
13,1631990,0.21796824735445683,7.735815783184946
14,1551378,0.24041658448166728,10.069631643609746
15,1560592,0.25820201564534484,11.511036196520294
16,1549092,0.2745576118138884,13.182539190700101
17,1678322,0.2849274453889063,14.316094289415261
18,1635623,0.2944547735022068,14.959057191051972
19,1462999,0.3027274796496785,15.535905356052876
20,1214183,0.30424655920894955,15.381233306676176
21,918341,0.2880607530318259,14.028228076498817
22,661453,0.2775783011037821,13.563843538391994
23,228201,0.21939868799873796,7.49379713498188
