feature_group,validation_ap_without_group,validation_ap_gain,validation_auc_gain,paired_log_loss_gain,loss_gain_ci_low,loss_gain_ci_high,included,decision
Flight identity,,,,,,,True,Required task definition
Schedule timing,,,,,,,True,Required task definition
Scheduled congestion,0.35771067289422875,0.0016015807629523038,0.0012446823070020319,0.00046316280004009606,0.0003628551768580277,0.0005634704232221644,True,Included
Federal holiday calendar,0.35796298002325333,0.0013492736339277278,0.0007279110092048846,0.0003140078576244414,0.00021870530593245735,0.00040931040931642545,True,Included
FAA airport class,0.35830113948975,0.0010111141674310486,0.0007590866358241355,0.0003366319714225829,0.0002484079791944565,0.0004248559636507093,True,Included
NWS forecast hazards,0.3539539761369917,0.0053582775201893584,0.003939361533548458,0.0015411288246028126,0.001386064239894906,0.0016961934093107191,True,Included
Lagged network centrality,0.35943490730760275,-0.00012265365042168908,0.00017407433034266617,2.139213765785098e-05,-8.13054860465358e-05,0.00012408976136223777,False,Excluded: no material validation lift
Recent delay propagation,0.33838714174313195,0.02092511191404911,0.015852416908040623,0.006262701482716948,0.005914718622427036,0.006610684343006859,True,Included
